Module,Run_Type,Run_Start_ticks,Run_Start_sec,Unused1,Unused2
0,0x501,3191021589,1680641241,--,--
No,Ch,Hit,Time_H,Time_L,Energy
447,0,0x110121,0,431489448,715
448,1,0x110222,0,432045704,325
449,1,0x110222,0,432290088,1557
450,0,0x110121,0,433672808,1367
451,0,0x110121,0,435451848,334
452,1,0x110222,0,435675432,2834
453,1,0x110222,0,436652104,2350
454,0,0x110121,0,437000648,1226
455,0,0x110121,0,438459752,1578
456,1,0x110222,0,438923560,1434
457,1,0x110222,0,439538216,2489
458,1,0x110222,0,440306888,2586
459,1,0x110222,0,442736360,1201
460,0,0x110121,0,443643688,1940
461,1,0x110222,0,443890600,278
462,0,0x110121,0,446677704,539
463,1,0x110222,0,447500776,6002
464,1,0x110222,0,449322088,1423
465,0,0x110121,0,449965704,2794
466,1,0x110222,0,450160808,827
467,1,0x110222,0,450404296,2327
468,0,0x110121,0,451178408,2204
469,1,0x110222,0,451178536,539
470,1,0x110222,0,452032552,2317
471,0,0x110121,0,453383112,1830
472,1,0x110222,0,453797192,2635
473,0,0x110121,0,454991016,481
474,1,0x110222,0,455452872,2672
475,1,0x110222,0,456709960,1285
476,0,0x110121,0,456954568,2719
477,0,0x110121,0,458196392,1308
478,0,0x110121,0,459724008,486
479,1,0x110222,0,460719432,539
480,1,0x110222,0,461766024,1528
481,1,0x110222,0,462341832,1864
482,1,0x110222,0,462727560,528
483,1,0x110222,0,462995720,319
484,1,0x110222,0,463109128,716
485,1,0x110222,0,463245192,474
486,1,0x110222,0,463869992,4993
487,0,0x110121,0,463924488,3251
488,1,0x110222,0,467695080,1480
489,1,0x110222,0,468276328,2173
490,0,0x110121,0,469064136,690
491,1,0x110222,0,469262664,1859
492,1,0x110222,0,470726472,2383
493,1,0x110222,0,471353512,1360
494,1,0x110222,0,472712040,1984
495,0,0x110121,0,473267560,4055
496,1,0x110222,0,473485352,1992
497,1,0x110222,0,475583880,283
498,1,0x110222,0,476002376,2078
499,0,0x110121,0,476488712,2664
500,0,0x110121,0,477413384,3204
501,0,0x110121,0,478864328,1887
502,0,0x110121,0,479504968,879
503,1,0x110222,0,481349800,2084
504,1,0x110222,0,481682376,2288
505,0,0x110121,0,482180904,348
506,0,0x110321,0,484072936,559
507,1,0x110222,0,484072968,1938
508,0,0x110121,0,485229288,2085
509,1,0x110222,0,485521416,1831
510,1,0x110222,0,486390792,410
511,1,0x110222,0,486562440,895
512,1,0x110222,0,487833800,1468
513,1,0x110222,0,488085864,4371
514,0,0x110121,0,488443112,790
515,0,0x110121,0,490798952,545
516,0,0x110121,0,490857480,3254
517,1,0x110222,0,493069160,1936
518,1,0x110222,0,494374760,660
519,1,0x110222,0,494973064,1111
520,0,0x110121,0,497119976,1172
521,1,0x110222,0,497369576,318
522,1,0x110222,0,497619112,708
523,1,0x110222,0,498164360,2571
524,0,0x110121,0,498186568,1541
525,1,0x110222,0,498186632,2307
526,1,0x110222,0,501837352,2496
527,0,0x110121,0,503505064,3111
528,0,0x110121,0,503890920,2462
529,0,0x110121,0,503932424,2152
530,0,0x110121,0,505671304,4315
531,1,0x110222,0,506492808,512
532,0,0x110121,0,507636744,920
533,0,0x110121,0,508059016,1240
534,0,0x110121,0,508350184,1934
535,1,0x110222,0,508850984,4646
536,0,0x110121,0,509685576,3271
537,1,0x110222,0,510242504,2130
538,1,0x110222,0,510996776,2191
539,1,0x110222,0,511502504,1033
540,0,0x110121,0,511551816,341
541,1,0x110222,0,511551912,376
542,1,0x110222,0,511852840,2370
543,0,0x110121,0,512917768,2137
544,1,0x110222,0,516392808,6221
545,0,0x110121,0,516797128,2701
546,1,0x110222,0,517870984,289
547,1,0x110222,0,518415560,2197
548,0,0x110121,0,520472584,1526
549,1,0x110222,0,520472648,1952
550,1,0x110222,0,522175400,2466
551,1,0x110222,0,522469864,710
552,0,0x110121,0,522894088,2752
553,0,0x110121,0,524199144,2626
554,1,0x110222,0,526005800,839
555,1,0x110222,0,526149000,970
556,1,0x110222,0,526827720,824
557,1,0x110222,0,527573320,2741
558,0,0x110121,0,528487176,2330
559,0,0x110121,0,528971368,3170
560,1,0x110222,0,528971464,2346
561,1,0x110222,0,528993448,2627
562,1,0x110222,0,530525992,924
563,1,0x110222,0,531230856,1035
564,1,0x110222,0,531853736,434
565,1,0x110222,0,532871368,330
566,1,0x110222,0,533444616,1466
567,1,0x110222,0,534175304,1173
568,0,0x110121,0,534214120,2940
569,1,0x110222,0,535845928,1142
570,1,0x110222,0,537615176,300
571,1,0x110222,0,540304168,1969
572,1,0x110222,0,540454120,1079
573,1,0x110222,0,541694088,2558
574,0,0x110121,0,542404168,3091
575,1,0x110222,0,542404264,1512
576,0,0x110321,0,542551368,603
577,1,0x110222,0,542551400,2280
578,1,0x110222,0,544030664,697
579,1,0x110222,0,545191368,397
580,0,0x110121,0,547276136,3294
581,1,0x110222,0,548368968,709
582,0,0x110121,0,548791528,2826
583,1,0x110222,0,549423464,544
584,1,0x110222,0,550460392,2210
585,0,0x110121,0,551777128,1780
586,1,0x110222,0,552272744,762
587,1,0x110222,0,553041160,2341
588,0,0x110121,0,554499496,2873
589,0,0x110121,0,555125960,263
590,1,0x110222,0,555654536,3019
591,1,0x110222,0,555893960,336
592,1,0x110222,0,559307784,1264
593,0,0x110121,0,560786152,2380
594,0,0x110121,0,561934120,967
595,1,0x110222,0,561934888,498
596,1,0x110222,0,562563752,2301
597,1,0x110222,0,564184232,1885
598,1,0x110222,0,566446504,2274
599,0,0x110121,0,566733416,2208
600,1,0x110222,0,566733576,405
601,1,0x110222,0,568674920,344
602,0,0x110121,0,569660680,2827
603,1,0x110222,0,569660744,1788
604,1,0x110222,0,570215592,4314
605,0,0x110121,0,571234280,841
606,0,0x110121,0,571731848,327
607,1,0x110222,0,572314088,1165
608,1,0x110222,0,573065256,1163
609,0,0x110121,0,573254568,3150
610,1,0x110222,0,573254664,2477
611,1,0x110222,0,573370536,335
612,1,0x110222,0,574661704,456
613,1,0x110222,0,575727592,552
614,1,0x110222,0,575964104,1589
615,1,0x110222,0,579111688,357
616,0,0x110121,0,579345768,2061
617,1,0x110222,0,579345832,3178
618,1,0x110222,0,580905768,2810
619,1,0x110222,0,581317512,1359
620,1,0x110222,0,581409032,1633
621,1,0x110222,0,582093832,501
622,1,0x110222,0,583272680,326
623,1,0x110222,0,584605224,830
624,0,0x110121,0,586641704,624
625,1,0x110222,0,587722728,535
626,1,0x110222,0,587899208,4178
627,0,0x110121,0,589285032,437
628,0,0x110121,0,590374952,2385
629,0,0x110121,0,590926248,2723
630,1,0x110222,0,590926408,408
631,1,0x110222,0,591375272,802
632,1,0x110222,0,591462728,1888
633,0,0x110121,0,591642216,2800
634,1,0x110222,0,591642312,1517
635,0,0x110121,0,593191752,286
636,1,0x110222,0,594241032,1426
637,0,0x110121,0,594646664,1133
638,1,0x110222,0,595789416,1680
639,1,0x110222,0,596328520,415
640,1,0x110222,0,596348712,1622
641,1,0x110222,0,597346632,1632
642,1,0x110222,0,597710088,610
643,1,0x110222,0,599277608,2397
644,1,0x110222,0,601050888,2302
645,0,0x110121,0,601524648,1497
646,1,0x110222,0,603336168,624
647,0,0x110121,0,604033288,2278
648,1,0x110222,0,604643112,2328
649,1,0x110222,0,605215144,940
650,0,0x110121,0,606204232,497
651,0,0x110121,0,606448968,3056
652,1,0x110222,0,606698216,2307
653,0,0x110121,0,607628488,2828
654,1,0x110222,0,608282248,3509
655,1,0x110222,0,608948392,2395
656,1,0x110222,0,610451560,2401
657,1,0x110222,0,611885576,520
658,0,0x110121,0,612945672,2292
659,0,0x110121,0,613531112,3018
660,1,0x110222,0,613620456,689
661,0,0x110121,0,616289896,1872
662,0,0x110121,0,617349064,667
663,1,0x110222,0,618456456,2590
664,1,0x110222,0,618966856,295
665,0,0x110121,0,620022216,1966
666,1,0x110222,0,620022344,638
667,1,0x110222,0,620045832,699
668,1,0x110222,0,621414504,3023
669,0,0x110121,0,621673416,1224
670,0,0x110121,0,622171816,453
671,0,0x110121,0,623779560,1721
672,0,0x110121,0,625210152,2012
673,1,0x110222,0,625707592,363
674,1,0x110222,0,626666088,865
675,0,0x110121,0,627390632,2559
676,1,0x110222,0,628543496,2553
677,1,0x110222,0,629956264,759
678,1,0x110222,0,630472552,539
679,0,0x110121,0,631622920,876
680,0,0x110121,0,631714248,544
